章,節,学習No,実施時期,優先度(開発者),大分類,中分類,タイトル
1,1,1-1,事前研修,*必須*,概要を「知る」,はじめのてkintone,kintone 研修環境の構築
1,2,1-2,事前研修,*必須*,概要を「知る」,動画でキントーンを学ぶ,動画でキントーンを学ぶ(16動画)
2,1,2-1,事前研修,任意,kintone 標準機能,便利に使おうシリーズ,テーブル
2,2,2-2,事前研修,任意,kintone 標準機能,便利に使おうシリーズ,計算
2,3,2-3,事前研修,任意,kintone 標準機能,便利に使おうシリーズ,グラフ・集計表
2,4,2-4,事前研修,任意,kintone 標準機能,便利に使おうシリーズ,ルックアップ
2,5,2-5,事前研修,任意,kintone 標準機能,便利に使おうシリーズ,関連レコード一覧
2,6,2-6,事前研修,任意,kintone 標準機能,便利に使おうシリーズ,アクション
2,7,2-7,事前研修,任意,kintone 標準機能,便利に使おうシリーズ,プロセス管理
2,8,2-8,事前研修,任意,kintone 標準機能,便利に使おうシリーズ,アクセス権
2,9,2-9,事前研修,任意,kintone 標準機能,便利に使おうシリーズ,通知
3,1,3-1,事前研修,*必須*,カスタマイズ知識,はじめよう JavaScript,イントロダクション
3,2,3-2,事前研修,*必須*,カスタマイズ知識,はじめよう JavaScript,HTML／CSS
3,3,3-3,事前研修,*必須*,カスタマイズ知識,はじめよう JavaScript,アウトプット方法／DOM操作／基本文法
3,4,3-4,事前研修,*必須*,カスタマイズ知識,はじめよう JavaScript,変数／データ型／データの演算
3,5,3-5,事前研修,*必須*,カスタマイズ知識,はじめよう JavaScript,条件分岐／繰り返し処理
3,6,3-6,事前研修,*必須*,カスタマイズ知識,はじめよう JavaScript,配列操作／オブジェクト操作
3,7,3-7,事前研修,*必須*,カスタマイズ知識,はじめよう JavaScript,関数
3,8,3-8,事前研修,*必須*,カスタマイズ知識,はじめよう JavaScript,イベント
3,9,3-9,事前研修,*必須*,カスタマイズ知識,はじめよう JavaScript,ライブラリー
3,10,3-10,事前研修,*必須*,カスタマイズ知識,はじめよう JavaScript,非同期処理：Promise と async/await
3,11,3-11,事前研修,*必須*,カスタマイズ知識,はじめよう JavaScript,Web API
4,1,4-1,事前研修,*必須*,カスタマイズ知識,はじめよう kintone API,イントロダクション
4,2,4-2,事前研修,*必須*,カスタマイズ知識,はじめよう kintone API,kintone JavaScript API
4,3,4-3,事前研修,*必須*,カスタマイズ知識,はじめよう kintone API,kintone REST API
4,4,4-4,事前研修,*必須*,カスタマイズ知識,はじめよう kintone API,kintone カスタマイズで非同期処理をする
4,5,4-5,事前研修,*必須*,カスタマイズ知識,はじめよう kintone API,デバッグ
4,6,4-6,事前研修,*必須*,カスタマイズ知識,はじめよう kintone API,カスタマイズビュー
4,7,4-7,事前研修,*必須*,カスタマイズ知識,はじめよう kintone API,Webhook
5,2,5-2,事前研修,推奨,開発の効率化,デバック方法,動かない？そんな時はデバッグをしてみよう！入門編
5,3,5-3,事前研修,推奨,開発の効率化,デバック方法,kintoneカスタマイズの基本的なデバッグの流れを身につけよう
5,4,5-4,事前研修,推奨,開発の効率化,デバック方法,kintone JavaScript カスタマイズデバッグまとめ
5,5,5-5,事前研修,推奨,開発の効率化,Google Chrome 開発者ツールのTips集,Google Chrome 開発者ツールのTips集 -デバッグ効率化編-
5,6,5-6,事前研修,推奨,開発の効率化,Google Chrome 開発者ツールのTips集,Google Chrome 開発者ツールのTips集 -DOM要素編-
5,7,5-7,事前研修,推奨,開発の効率化,Google Chrome 開発者ツールのTips集,Google Chrome 開発者ツールのTips集 -kintone開発特化編-
6,1,6-1,事前研修,*必須*,カスタマイズ入門,はじめようkintone API,【第1回】kintone javascript APIのイジりかた
6,2,6-2,事前研修,*必須*,カスタマイズ入門,はじめようkintone API,【第2回】レコード一覧画面にボタンを置いてみよう！
